bug_id,target_api,bug_category,trigger_condition,oracle_type,pattern_extractability,knowledge_generation_feasibility,include,confidence,reason
61291,torch.mm,Shape Boundary,"Passing CUDA tensors with incompatible shapes to torch.mm, e.g. shapes that do not satisfy (m,k) and (k,n), as occurs through nn.Linear when default tensor type is set to a CUDA type.",Exception,High,High,Yes,High,"The bug is a missing shape validation on GPU mm operations, leading to undefined behavior instead of a shape mismatch exception. It can be reproduced by generating mismatched CUDA tensor shapes and has a clear expected oracle: an exception."
65808,torch.utils.data.datapipes.iter.TarArchiveReader,State Boundary,"A datapipe pipeline uses TarArchiveReader followed by Shuffler, and Shuffler's buffer_size is greater than the number of entries in the tar archive, causing the archive to be exhausted and closed before yielded member streams are read.",Exception,High,High,Yes,High,The failure is reproducible by constructing a tar archive with a known number of members and configuring Shuffler with a larger buffer_size. Reading from the yielded buffer then triggers 'ValueError: seek of closed file'. This abstracts into a resource lifetime/state boundary pattern for buffered datapipes.
8693,torch.nn.functional.grid_sample,Other,Call torch.nn.functional.grid_sample with valid 5D input and grid tensors but an unsupported mode string such as 'anything'.,Exception,High,High,Yes,High,"The bug is a reproducible input validation flaw: grid_sample does not reject an invalid mode argument. A fuzzing harness can pass arbitrary invalid mode strings and expect an exception, making it suitable for pattern extraction and harness generation."
23642,torch.utils.data.DataLoader,Other,"Using DataLoader with num_workers=2, pin_memory=True on a large dataset causes a multi-second delay at the end of each epoch.",Performance Issue,Low,Low,No,High,"This is a pure performance regression in DataLoader, and the criteria explicitly exclude pure performance regressions. It does not produce a crash, exception, or incorrect output."
27074,torch.Tensor.align_to,Other,"Passing an unnamed tensor, such as torch.randn(3, 3), to Tensor.align_to with dimension names triggers the named-tensor validation path and reports index None instead of a numeric index.",Documentation Issue,Low,Low,No,High,"The bug only affects the text of a RuntimeError message. It is a diagnostic/documentation-style issue rather than a functional failure, and it does not generalize into a reusable fuzzing pattern."
23580,torch.qr,Other,"Calling torch.qr on a CPU tensor with shape (1000, 10), e.g. torch.randn(1000, 10).",Performance Issue,Low,Low,No,High,This is a pure performance regression in torch.qr and is explicitly excluded by the dataset criteria.
8111,torch.Tensor.__rshift__,Device Boundary,Calling __rshift__ on a CUDA tensor with an integer shift amount; the same operation on CPU returns the correct right-shifted result.,Incorrect Output,High,High,Yes,High,"The bug is reproducible by generating a CUDA tensor and applying right shift, has a clear incorrect-output oracle by comparing against CPU semantics, and abstracts to a device-specific operator correctness pattern."
37403,torch.multinomial,Device Boundary,"Calling torch.multinomial on a CUDA tensor with a large number of uniform categories (e.g., 1,000,000), replacement=True, and many samples; CPU produces near-uniform counts while CUDA samples only a small biased subset.",Incorrect Output,Medium,Medium,Yes,Medium,"The bug is reproducible via input generation: create large uniform CUDA weights, draw many multinomial samples, and compare the categorical distribution against CPU or expected uniformity. It is a CUDA-specific device-boundary correctness issue with a statistical output oracle."
34191,torch.topk,Gradient Boundary,"A CUDA tensor with requires_grad=True containing NaN values is passed to torch.topk, and the output is used for backward.",Crash,High,High,Yes,High,"The bug is reproducible by feeding NaN values into torch.topk on CUDA and performing backward, triggering a CUDA assertion from invalid scatter indices. This generalizes to non-finite inputs causing invalid gradient behavior."
37844,torch.nn.Conv2d,Shape Boundary,"Using nn.Conv2d with padding_mode='circular' and asymmetric padding tuple (h, w) where h != w, so padding is applied to the wrong spatial dimension.",Incorrect Output,High,High,Yes,High,The bug is reproducible by constructing Conv2d with asymmetric circular padding and comparing output shape against zero-padding mode or expected shape. It generalizes to a shape-boundary/padding-dimension pattern.
