bug_id,target_api,bug_category,trigger_condition,oracle_type,pattern_extractability,knowledge_generation_feasibility,confidence,reason,human_include,human_category,human_pattern,human_trigger,harness_feasible,review_note
7559,torch.Tensor.__getitem__,Shape Boundary,"Indexing a tensor with a zero-length slice such as slice(0), especially when combined with other slices or followed by further indexing on the resulting tensor.",Incorrect Output,High,High,High,"Zero-length slice indexing is a reproducible input pattern. The bug yields clear oracles, including incorrect tensor output and an indexing RuntimeError, and can be generalized into a shape-boundary indexing pattern.",Yes,Shape Boundary,Empty Tensor Slice Boundary,Generate tensors and apply zero-length slicing followed by indexing operations,High,Clear tensor indexing boundary pattern with simple reproducible harness
7568,torch.nn.utils.weight_norm,Shape Boundary,"Use torch.nn.utils.weight_norm(module, dim=None), which produces a 0-dim weight_g parameter, then wrap the model with torch.nn.DataParallel and run forward/backward on multiple CUDA devices.",Exception,High,Medium,High,"The bug is triggered by a clear shape boundary condition: weight_norm(dim=None) creates a 0-dim parameter that DataParallel cannot replicate correctly, causing a runtime exception. This can be abstracted into a reusable shape-boundary pattern for module replication.",Yes,Shape Boundary,Zero-Dimensional Parameter Replication Boundary,"Create a zero-dimensional parameter, such as through weight_norm(dim=None), and exercise module replication across devices.",Low,"Keep as a reusable zero-dimensional parameter pattern, but it requires DataParallel and multi-GPU execution, making it unsuitable for the current single-API FlashFuzz experiment."
7639,torch.Tensor.index,Other,"Calling Tensor.index with an integer index instead of a tuple of Tensors, e.g. torch.FloatTensor(5).index(3).",Exception,Medium,Medium,Medium,"The report describes a reproducible argument-type boundary issue: an integer index triggers a clear TypeError, and the condition can be exercised by generating different index argument types for Tensor.index.",No,Other,Invalid Argument Type,Pass an integer argument where Tensor.index expects tensor-based indices.,High,"Exclude: this primarily represents invalid API usage with a wrong argument type and an expected TypeError, rather than a reusable implementation-level bug pattern."
7650,torch.onnx.export,Dtype Boundary,"Calling torch.onnx.export on a module that computes x ** 2 / torch.pow(x, 2) with a floating-point input tensor. The exporter records the exponent as an int64 tensor, producing an ONNX Pow node with an int64 exponent input.",Exception,High,High,High,"The bug is rooted in PyTorch's ONNX exporter preserving an integer dtype for the Pow exponent, which violates ONNX/Caffe2 Pow dtype constraints and triggers a clear type-mismatch exception. It is reproducible by generating simple modules that use integer-exponent pow and exporting them, making it a reusable dtype-boundary pattern.",No,Dtype Boundary,Exported Operand Dtype Mismatch,"Exporting a model containing operations where operand dtypes are inconsistently inferred during graph conversion, such as floating-point tensor power operations with integer scalar constants.",Low,"Exclude from current FlashFuzz operator-level dataset. This is a valid dtype-boundary bug in the ONNX export pipeline, but reproducing it requires model construction and graph export validation rather than a single operator backend harness."
7763,torch.einsum,Gradient Boundary,"A tensor with requires_grad=True is used as an operand in torch.einsum and then reused in another differentiable operation before backward, causing autograd to detect an in-place modification.",Exception,Medium,High,High,"The bug is reproducibly triggered by generating a differentiable tensor, passing it to torch.einsum multiple times, and calling backward. The resulting RuntimeError is a clear oracle, and the issue can be generalized as an autograd in-place mutation pattern for functional APIs.",Yes,Gradient Boundary,Autograd Graph Mutation,"Using a requires_grad tensor in torch.einsum and reusing or modifying the tensor before backward, causing autograd graph inconsistency during gradient computation.",Medium,"Keep: this represents a reusable gradient-boundary pattern. Random tensor generation is unlikely to cover autograd state transitions, while historical knowledge can guide harness generation to test requires_grad tensors with operation reuse before backward."
7868,torch.onnx.export,Memory Layout Boundary,"Exporting a model containing consecutive transpose operations, such as x.transpose(1, 2).transpose(0, 1), to ONNX triggers incorrect transpose fusion in the peephole optimizer.",Incorrect Output,High,High,High,"The bug is triggered by a reproducible sequence of transpose operations during ONNX export, produces an incorrect transpose permutation in the exported graph, and can be abstracted into a general pattern for fuzzing ONNX export with transpose sequences.",No,Memory Layout Boundary,Layout Transformation Fusion Error,"Exporting models containing consecutive tensor layout transformations, such as chained transpose operations, which may be incorrectly fused during graph optimization and change output semantics.",Low,"Exclude from current FlashFuzz operator-level dataset. This is a valid memory-layout transformation bug in the ONNX export optimization pipeline, but it requires an exporter-level harness rather than a single backend API harness."
7947,torch.nn.functional.embedding_bag,Other,Call torch.nn.functional.embedding_bag with max_norm set to a non-None value.,Exception,Low,High,High,"The bug is triggered by a concrete input condition (max_norm is not None) and produces a deterministic NameError exception. It can be abstracted as an optional parameter code path referencing an undefined internal variable, and a harness can easily be generated to call embedding_bag with max_norm set.",Yes,State Boundary,Optional Parameter Path Failure,"Calling embedding_bag with optional parameter max_norm enabled, which activates an untested internal execution path and triggers an implementation exception.",High,Keep: this represents a reusable optional-parameter boundary pattern. Historical knowledge can guide harness generation to explore rarely tested API argument combinations beyond default configurations.
8077,torch.load,State Boundary,"Saving a torch.nn.Module that has torch.nn.Parameter attributes (including nested module parameters) with torch.save, then loading it with torch.load. The loaded module retains the attribute but its type changes from torch.nn.Parameter to torch.Tensor.",Incorrect Output,High,High,High,"The bug is reproducible by constructing a module with Parameter attributes, saving and loading it, and checking the loaded attribute type. It has a clear expected oracle (Parameter type should be preserved) and generalizes to serialization/deserialization state boundary issues.",Yes,State Boundary,Serialization State Preservation Failure,"Serializing and deserializing objects containing framework-specific state, such as torch.nn.Parameter attributes, where the restored object loses its original semantic type or state information.",High,"Keep: this represents a reusable state-boundary pattern. Serialization APIs should preserve framework-specific semantic states, and historical knowledge can guide harness generation with state consistency oracles."
8111,torch.Tensor.__rshift__,Device Boundary,Calling __rshift__ on a CUDA tensor with an integer shift amount; the same operation on CPU returns the correct right-shifted result.,Incorrect Output,High,High,High,"The bug is reproducible by generating a CUDA tensor and applying right shift, has a clear incorrect-output oracle by comparing against CPU semantics, and abstracts to a device-specific operator correctness pattern.",Yes,Device Boundary,CPU-CUDA Backend Semantic Divergence,"Executing an operator on tensors located on different devices (CPU and CUDA) and comparing results, where CUDA produces behavior inconsistent with the CPU reference implementation.",High,Keep: this represents a reusable device-boundary pattern. Differential testing between CPU and CUDA implementations provides a clear oracle and can guide harness generation for backend consistency checking.
8508,torch.distributions.MultivariateNormal,Shape Boundary,"Passing a 0-dimensional scalar tensor as loc to torch.distributions.MultivariateNormal with a 1x1 covariance matrix (e.g., torch.eye(1) * sigma).",Crash,High,High,High,The crash is triggered by a specific shape condition (scalar/0-dimensional loc tensor) and produces a clear SIGFPE crash oracle. This can be generalized into a shape-boundary pattern for distribution parameter validation.,Yes,Shape Boundary,Distribution Parameter Shape Validation Failure,"Providing distribution parameters with incompatible scalar, batch, or event dimensions, such as a 0-dimensional loc tensor with a matrix covariance input.",High,"Keep: this represents a reusable shape-boundary pattern for APIs requiring structured tensor dimensions. Historical knowledge can guide harness generation to explore scalar, batch, and event dimension mismatches instead of only valid shapes."
8626,torch.Tensor.as_strided,Gradient Boundary,"Applying as_strided or reshape to an expanded tensor that requires gradients, then computing gradients; for example, x.expand(3,2).as_strided([3,2], x.expand(3,2).stride()) followed by a differentiable operation.",Incorrect Output,High,High,High,"The bug is reproducible by generating expanded tensors and applying view ops such as as_strided or reshape. The failure is an incorrect gradient, which can be detected by comparing gradients against an equivalent graph without the view op.",Yes,Gradient Boundary,Aliased Tensor View Gradient Inconsistency,"Applying view operations that create memory aliasing (such as as_strided, expand, or reshape) on tensors requiring gradients, followed by backward computation.",High,Keep: this is a reusable autograd and memory-aliasing pattern. Historical knowledge can guide harness generation toward stateful tensor operation sequences that involve view creation and backward verification.
